resource_type,current_handle,proposed_handle,current_url,new_url,redirect_required,swedish_detected,title,products_count,internal_references_impacted
collection,amagisn-kameratillbehor-and-dronarutrustning,amagisn-camera-accessories-and-drone-equipment,/collections/amagisn-kameratillbehor-and-dronarutrustning,/collections/amagisn-camera-accessories-and-drone-equipment,YES,YES,kameratillbehör - AMagisn Tillbehör för Kamera och Drönare,149,
collection,bandverktyg,pliers,/collections/bandverktyg,/collections/pliers,YES,YES,Bändverktyg för Precisionsreparationer,2,
collection,belysning-for-drones,lighting-for-drones,/collections/belysning-for-drones,/collections/lighting-for-drones,YES,YES,Belysning till drönare,28,
collection,dji-air-3-antenner,dji-air-3-antennas,/collections/dji-air-3-antenner,/collections/dji-air-3-antennas,YES,YES,DJI Air 3 — Antenner,131,spare-parts-deploy → :[];Antenner
collection,dji-air-3-armar,dji-air-3-arms,/collections/dji-air-3-armar,/collections/dji-air-3-arms,YES,YES,DJI Air 3 — Armar,267,spare-parts-deploy → :[];Armar
collection,dji-air-3-kablar,dji-air-3-cables,/collections/dji-air-3-kablar,/collections/dji-air-3-cables,YES,YES,DJI Air 3 — Kablar,713,spare-parts-deploy → :[];Kablar
collection,dji-air-3-kameror,dji-air-3-cameras,/collections/dji-air-3-kameror,/collections/dji-air-3-cameras,YES,YES,DJI Air 3 — Kameror,1165,spare-parts-deploy → :[];Kameror
collection,dji-air-3-landningsstall,dji-air-3-landing-gear,/collections/dji-air-3-landningsstall,/collections/dji-air-3-landing-gear,YES,YES,DJI Air 3 — Landningsställ,160,spare-parts-deploy → :[];Landningsställ
collection,dji-air-3-motorer,dji-air-3-motors,/collections/dji-air-3-motorer,/collections/dji-air-3-motors,YES,YES,DJI Air 3 — Motorer,245,spare-parts-deploy → :[];Motorer
collection,dji-air-3-sensorer,dji-air-3-sensors,/collections/dji-air-3-sensorer,/collections/dji-air-3-sensors,YES,YES,DJI Air 3 — Sensorer,147,spare-parts-deploy → :[];Sensorer
collection,dji-air-3-skal,dji-air-3-shell,/collections/dji-air-3-skal,/collections/dji-air-3-shell,YES,YES,DJI Air 3 — Skal,345,spare-parts-deploy → :[];Skal
collection,dji-drones-fjarrkontroller,dji-drones-remote-controls,/collections/dji-drones-fjarrkontroller,/collections/dji-drones-remote-controls,YES,YES,Fjärrkontroller och Tillbehör för DJI Drönare,7,
collection,dji-enterprise-fjarrkontroller,dji-enterprise-remote-controls,/collections/dji-enterprise-fjarrkontroller,/collections/dji-enterprise-remote-controls,YES,YES,Professionella Fjärrkontroller för DJI Enterprise,22,
collection,dji-flycart-100-lastdronare,dji-flycart-100-cargo-drones,/collections/dji-flycart-100-lastdronare,/collections/dji-flycart-100-cargo-drones,YES,YES,DJI FlyCart 100: Lastdrönare för Tunga Lyft,2,main-menu → FlyCart 100; main-menu → :[FlyCart 100
collection,dji-matrice-30-serie-accessories,dji-matrice-30-series-accessories,/collections/dji-matrice-30-serie-accessories,/collections/dji-matrice-30-series-accessories,YES,YES,dji arm - DJI Matrice 30 Serie Tillbehör,9,
collection,dji-matrice-350-rtk-antenner,dji-matrice-350-rtk-antennas,/collections/dji-matrice-350-rtk-antenner,/collections/dji-matrice-350-rtk-antennas,YES,YES,DJI Matrice 350 RTK — Antenner,17,spare-parts-deploy → :[];Antenner
collection,dji-matrice-4-kablar,dji-matrice-4-cables,/collections/dji-matrice-4-kablar,/collections/dji-matrice-4-cables,YES,YES,DJI Matrice 4 — Kablar,618,spare-parts-deploy → :[];Kablar
collection,dji-matrice-4-kameror,dji-matrice-4-cameras,/collections/dji-matrice-4-kameror,/collections/dji-matrice-4-cameras,YES,YES,DJI Matrice 4 — Kameror,1075,spare-parts-deploy → :[];Kameror
collection,dji-matrice-4-serie,dji-matrice-4-series,/collections/dji-matrice-4-serie,/collections/dji-matrice-4-series,YES,YES,dji matrice 4 Serie,22,
collection,dji-mavic-3-enterprise-kameror,dji-mavic-3-enterprise-cameras,/collections/dji-mavic-3-enterprise-kameror,/collections/dji-mavic-3-enterprise-cameras,YES,YES,DJI Mavic 3 Enterprise — Kameror,1057,spare-parts-deploy → :[];Kameror
collection,dji-mavic-3-enterprise-skal,dji-mavic-3-enterprise-shell,/collections/dji-mavic-3-enterprise-skal,/collections/dji-mavic-3-enterprise-shell,YES,YES,DJI Mavic 3 Enterprise — Skal,230,spare-parts-deploy → :[];Skal
collection,dji-mini-4-pro-antenner,dji-mini-4-pro-antennas,/collections/dji-mini-4-pro-antenner,/collections/dji-mini-4-pro-antennas,YES,YES,DJI Mini 4 Pro — Antenner,130,spare-parts-deploy → :[];Antenner
collection,dji-mini-4-pro-armar,dji-mini-4-pro-arms,/collections/dji-mini-4-pro-armar,/collections/dji-mini-4-pro-arms,YES,YES,DJI Mini 4 Pro — Armar,264,spare-parts-deploy → :[];Armar
collection,dji-mini-4-pro-kablar,dji-mini-4-pro-cables,/collections/dji-mini-4-pro-kablar,/collections/dji-mini-4-pro-cables,YES,YES,DJI Mini 4 Pro — Kablar,715,spare-parts-deploy → :[];Kablar
collection,dji-mini-4-pro-kameror,dji-mini-4-pro-cameras,/collections/dji-mini-4-pro-kameror,/collections/dji-mini-4-pro-cameras,YES,YES,DJI Mini 4 Pro — Kameror,1165,spare-parts-deploy → :[];Kameror
collection,dji-mini-4-pro-landningsstall,dji-mini-4-pro-landing-gear,/collections/dji-mini-4-pro-landningsstall,/collections/dji-mini-4-pro-landing-gear,YES,YES,DJI Mini 4 Pro — Landningsställ,159,spare-parts-deploy → :[];Landningsställ
collection,dji-mini-4-pro-motorer,dji-mini-4-pro-motors,/collections/dji-mini-4-pro-motorer,/collections/dji-mini-4-pro-motors,YES,YES,DJI Mini 4 Pro — Motorer,241,spare-parts-deploy → :[];Motorer
collection,dji-mini-4-pro-sensorer,dji-mini-4-pro-sensors,/collections/dji-mini-4-pro-sensorer,/collections/dji-mini-4-pro-sensors,YES,YES,DJI Mini 4 Pro — Sensorer,144,spare-parts-deploy → :[];Sensorer
collection,dji-mini-4-pro-skal,dji-mini-4-pro-shell,/collections/dji-mini-4-pro-skal,/collections/dji-mini-4-pro-shell,YES,YES,DJI Mini 4 Pro — Skal,342,spare-parts-deploy → :[];Skal
collection,dji-rc-fjarrkontroller,dji-rc-remote-controls,/collections/dji-rc-fjarrkontroller,/collections/dji-rc-remote-controls,YES,YES,DJI RC – Smart fjärrkontroll,7,
collection,dronarelektronik-flight-components,drone-electronics-flight-components,/collections/dronarelektronik-flight-components,/collections/drone-electronics-flight-components,YES,YES,Reservdelar & Komponenter för DJI & FPV,175,main-menu → Elektronik & flight components; main-menu → :[];Elektronik & flight components
collection,dronarmatta-landning-protection,drone-mat-landing-protection,/collections/dronarmatta-landning-protection,/collections/drone-mat-landing-protection,YES,YES,Landningsmattor Drönare – Säker & Stabil Flygning,21,
collection,drone-fjarrkontrollstillbehor,drone-remote-control-accessories,/collections/drone-fjarrkontrollstillbehor,/collections/drone-remote-control-accessories,YES,YES,Drönar - fjärrkontrollstillbehör,32,
collection,drone-kameror,drone-cameras,/collections/drone-kameror,/collections/drone-cameras,YES,YES,Professionella Drönar kameror för Flygfoto,3,
collection,drones-with-varmekamera,drones-with-thermal-camera,/collections/drones-with-varmekamera,/collections/drones-with-thermal-camera,YES,YES,Drönare med värmekamera,30,
collection,enterprise-belysning,enterprise-lighting,/collections/enterprise-belysning,/collections/enterprise-lighting,YES,YES,Enterprise belysning,13,
collection,enterprise-hogtalarsystem,enterprise-speaker-systems,/collections/enterprise-hogtalarsystem,/collections/enterprise-speaker-systems,YES,YES,Enterprise Högtalarsystem,23,
collection,enterprise-lyftsystem,enterprise-lifting-systems,/collections/enterprise-lyftsystem,/collections/enterprise-lifting-systems,YES,YES,Enterprise Lyftsystem,5,
collection,enterprise-sensorer,enterprise-sensors,/collections/enterprise-sensorer,/collections/enterprise-sensors,YES,YES,Enterprise Sensorer,20,main-menu → Sensors & Payloads; main-menu → :[];Sensors & Payloads
collection,fjarrkontroll-drones,remote-control-drones,/collections/fjarrkontroll-drones,/collections/remote-control-drones,YES,YES,Fjärrkontroll drönare: Precision & kontroll för din flygning,10,
collection,inspektionsdronare,inspection-drones,/collections/inspektionsdronare,/collections/inspection-drones,YES,YES,Inspektionsdrönare,4,main-menu → Branschlösningar; main-menu → Inspektion; main-menu → :[]];Branschlösningar; main-menu → :[Inspektion
collection,jordbruksdronare,agricultural-drones,/collections/jordbruksdronare,/collections/agricultural-drones,YES,YES,Jordbruksdrönare,4,main-menu → Jordbruk; main-menu → :[];Jordbruk
collection,kamerakablar-actionking,kameracables-actionking,/collections/kamerakablar-actionking,/collections/kameracables-actionking,YES,YES,Kamerakablar för Optimal Prestanda,12,
collection,kapor-for-drones,covers-for-drones,/collections/kapor-for-drones,/collections/covers-for-drones,YES,YES,Högkvalitativa Kåpor till Drönare,158,
collection,kartlaggnings-and-matdronare,mappings-and-survey-drones,/collections/kartlaggnings-and-matdronare,/collections/mappings-and-survey-drones,YES,YES,Kartläggnings- och mätdrönare,26,
collection,landningsstall-drones,landing-gear-drones,/collections/landningsstall-drones,/collections/landing-gear-drones,YES,YES,Landningsställ till drönare – Stabil och säker landning,42,
collection,last-and-transportdronare,last-and-transport-drones,/collections/last-and-transportdronare,/collections/last-and-transport-drones,YES,YES,Last- och transportdrönare,54,
collection,mounts-adaptrar-action-cameras,mounts-adapters-action-cameras,/collections/mounts-adaptrar-action-cameras,/collections/mounts-adapters-action-cameras,YES,YES,Universal Fästen och Adaptrar till actionkameror,5,
collection,multiverktyg-friluftsliv,multi-tools-outdoor,/collections/multiverktyg-friluftsliv,/collections/multi-tools-outdoor,YES,YES,Multiverktyg friluftsliv: Kompakt & Mångsidigt Äventyrsverktyg,14,
collection,pincetter-actionking,tweezers-actionking,/collections/pincetter-actionking,/collections/tweezers-actionking,YES,YES,Pincetter,1,
collection,reparera-precisionsverktyg-elektronik,repair-precision-tools-electronics,/collections/reparera-precisionsverktyg-elektronik,/collections/repair-precision-tools-electronics,YES,YES,Precisionsverktyg Elektronik: Reparera kamera & drönare enkelt,36,
collection,skogsbruksdronare,forestry-drones,/collections/skogsbruksdronare,/collections/forestry-drones,YES,YES,Skogsbruksdrönare,1,main-menu → Skogsbruk; main-menu → :[];Skogsbruk
collection,skruvmejsel-set,screwdriver-set,/collections/skruvmejsel-set,/collections/screwdriver-set,YES,YES,Skruvmejsel Set – Precisionsverktyg för Alla Behov,6,
collection,spare-parts-gimbal-drones-motorer,spare-parts-gimbal-drones-motors,/collections/spare-parts-gimbal-drones-motorer,/collections/spare-parts-gimbal-drones-motors,YES,YES,Reservdelar Gimbal Drönare: Gimbalmotorer för Optimal Stabilisering,171,
collection,tanger-actionking,pliers-actionking,/collections/tanger-actionking,/collections/pliers-actionking,YES,YES,Tänger Action: Precision och Styrka,1,
collection,tillbehorskablar-drones,accessory-cables-drones,/collections/tillbehorskablar-drones,/collections/accessory-cables-drones,YES,YES,Kablar till drönare,10,
collection,usb-kablar-usb-c-for-usb-c,usb-cables-usb-c-for-usb-c,/collections/usb-kablar-usb-c-for-usb-c,/collections/usb-cables-usb-c-for-usb-c,YES,YES,Kraftfulla USB-kablar USB-C till USB-C,23,
collection,waterproof-kameraskydd,waterproof-camera-protection,/collections/waterproof-kameraskydd,/collections/waterproof-camera-protection,YES,YES,Vattentätt kameraskydd för kamera & drönare,141,
page,vara-varumarken,vara-brands,/pages/vara-varumarken,/pages/vara-brands,YES,YES,Våra Varumärken,,
page,gopro-faste,gopro-mount,/pages/gopro-faste,/pages/gopro-mount,YES,YES,GoPro-fäste för actionkamera - flexibla och säkra monteringslösningar,,
page,retur-reklamation,retur-claims,/pages/retur-reklamation,/pages/retur-claims,YES,YES,Retur & Reklamation,,
page,rekalamtioner-aterkop,rekalamtioner-buyback,/pages/rekalamtioner-aterkop,/pages/rekalamtioner-buyback,YES,YES,Reklamationer & Återköp,,
page,gimbal-and-stabilisering,gimbal-and-stabilization,/pages/gimbal-and-stabilisering,/pages/gimbal-and-stabilization,YES,YES,"Gimbal och stabilisering för mobil, kamera och actionkamera",,
page,kopvillkor,terms-of-sale,/pages/kopvillkor,/pages/terms-of-sale,YES,YES,Köpvillkor,,
page,samarbeta-with-actionking,partner-with-actionking,/pages/samarbeta-with-actionking,/pages/partner-with-actionking,YES,YES,Samarbeta med ActionKing,,
page,samarbeta-with-oss,partner-with-oss,/pages/samarbeta-with-oss,/pages/partner-with-oss,YES,YES,Samarbeta med oss,,
page,kablar,cables,/pages/kablar,/pages/cables,YES,YES,Kablar,,
page,ljud,audio,/pages/ljud,/pages/audio,YES,YES,Ljud,,
page,basta-myggskyddet,best-mosquito-repellentet,/pages/basta-myggskyddet,/pages/best-mosquito-repellentet,YES,YES,Bästa myggskyddet,,
blog,nyheter,news,/blogs/nyheter,/blogs/news,YES,YES,Nyheter,,
article,nyheter/kop-dronare-med-kamera,news/kop-drones-med-kamera,/blogs/nyheter/kop-dronare-med-kamera,/blogs/news/kop-drones-med-kamera,YES,YES,Bästa köp drönare med kamera – en komplett köpguide,,
article,nyheter/fpv-drone-kit,news/fpv-drone-kit,/blogs/nyheter/fpv-drone-kit,/blogs/news/fpv-drone-kit,YES,YES,Hitta rätt FPV drone kit för din första flygning,,
article,nyheter/gopro-hero-11-black,news/gopro-hero-11-black,/blogs/nyheter/gopro-hero-11-black,/blogs/news/gopro-hero-11-black,YES,YES,Den ultimata guiden till din GoPro Hero11 Black,,
article,nyheter/dji-mini-se,news/dji-mini-se,/blogs/nyheter/dji-mini-se,/blogs/news/dji-mini-se,YES,YES,Flyga DJI Mini SE i Sverige en komplett nybörjarguide,,
article,nyheter/dji-flip-lilla-dronaren,news/dji-flip-lilla-dronesn,/blogs/nyheter/dji-flip-lilla-dronaren,/blogs/news/dji-flip-lilla-dronesn,YES,YES,DJI Flip – Den lilla drönaren med stora möjligheter,,
article,nyheter/dronare-regler,news/drones-regulations,/blogs/nyheter/dronare-regler,/blogs/news/drones-regulations,YES,YES,Drönare regler i Sverige förklarade enkelt,,
article,nyheter/laddningsbara-batterier-aaa,news/rechargeable-batteryer-aaa,/blogs/nyheter/laddningsbara-batterier-aaa,/blogs/news/rechargeable-batteryer-aaa,YES,YES,Den kompletta guiden till laddningsbara batterier AAA,,
article,nyheter/kamera-for-youtube,news/kamera-for-youtube,/blogs/nyheter/kamera-for-youtube,/blogs/news/kamera-for-youtube,YES,YES,Upptäck kamera för youtube – vår guide till bästa utrustningen,,
article,nyheter/powerbank-usb-c,news/powerbank-usb-c,/blogs/nyheter/powerbank-usb-c,/blogs/news/powerbank-usb-c,YES,YES,Så väljer du rätt powerbank usb c för dina behov,,
article,nyheter/mikrofon-mygga-tradlos,news/microphone-mygga-wireless,/blogs/nyheter/mikrofon-mygga-tradlos,/blogs/news/microphone-mygga-wireless,YES,YES,Mikrofon mygga trådlös en komplett guide till perfekt ljud,,
article,nyheter/mikrofon-till-mobil,news/microphone-till-mobil,/blogs/nyheter/mikrofon-till-mobil,/blogs/news/microphone-till-mobil,YES,YES,"Mikrofon till mobil: Så väljer du rätt för vlogg, intervjuer och musik",,
article,nyheter/minneskort-micro-sd,news/memory-cards-micro-sd,/blogs/nyheter/minneskort-micro-sd,/blogs/news/memory-cards-micro-sd,YES,YES,Så väljer du rätt minneskort micro sd för din actionkamera och drönare,,
article,nyheter/uppladdningsbara-batterier-laddare,news/upprechargeable-batteryer-charger,/blogs/nyheter/uppladdningsbara-batterier-laddare,/blogs/news/upprechargeable-batteryer-charger,YES,YES,Så väljer du rätt uppladdningsbara batterier laddare,,
article,nyheter/micro-usb-laddare,news/micro-usb-charger,/blogs/nyheter/micro-usb-laddare,/blogs/news/micro-usb-charger,YES,YES,Den ultimata guiden till din micro usb laddare,,
article,nyheter/spela-in-ljud,news/spela-in-audio,/blogs/nyheter/spela-in-ljud,/blogs/news/spela-in-audio,YES,YES,Spela in ljud med actionkamera som ett proffs,,
article,nyheter/ficklampa,news/flashlight,/blogs/nyheter/ficklampa,/blogs/news/flashlight,YES,YES,Så väljer du rätt ficklampa för dina äventyr,,
article,nyheter/powerbank,news/powerbank,/blogs/nyheter/powerbank,/blogs/news/powerbank,YES,YES,Så väljer du rätt powerbank för dina äventyr utomhus,,
article,nyheter/reservdelar-dronare,news/spare-parts-drones,/blogs/nyheter/reservdelar-dronare,/blogs/news/spare-parts-drones,YES,YES,Reservdelar drönare för underhåll och reparationer,,
article,nyheter/gimbal,news/gimbal,/blogs/nyheter/gimbal,/blogs/news/gimbal,YES,YES,Skapa filmiska videor med en gimbal,,
article,nyheter/sd-kort-till-kamera,news/sd-kort-till-kamera,/blogs/nyheter/sd-kort-till-kamera,/blogs/news/sd-kort-till-kamera,YES,YES,Sd kort till kamera: Köpguide för bästa minneskort,,
article,nyheter/upptack-dji-osmo-action-6-actionkamerans-nya-masterverk,news/upptack-dji-osmo-action-6-actionkamerans-nya-masterverk,/blogs/nyheter/upptack-dji-osmo-action-6-actionkamerans-nya-masterverk,/blogs/news/upptack-dji-osmo-action-6-actionkamerans-nya-masterverk,YES,YES,Upptäck DJI Osmo Action 6 – Actionkamerans nya mästerverk,,
article,nyheter/dji-mini-5-pro,news/dji-mini-5-pro,/blogs/nyheter/dji-mini-5-pro,/blogs/news/dji-mini-5-pro,YES,YES,Allt du behöver veta om DJI Mini 5 Pro i Sverige,,
article,nyheter/insta-360,news/insta-360,/blogs/nyheter/insta-360,/blogs/news/insta-360,YES,YES,Upptäck insta 360 din guide till 360kameror,,
article,nyheter/stormkok,news/stormkok,/blogs/nyheter/stormkok,/blogs/news/stormkok,YES,YES,Stormkök bäst i test hitta rätt för ditt äventyr,,
article,nyheter/nitecore-emr25-myggavskrackaren,news/nitecore-emr25-myggavskrackaren,/blogs/nyheter/nitecore-emr25-myggavskrackaren,/blogs/news/nitecore-emr25-myggavskrackaren,YES,YES,Nitecore EMR25 – Den smarta myggavskräckaren med powerbank för sommarens alla äventyr,,
article,nyheter/nitecore,news/nitecore,/blogs/nyheter/nitecore,/blogs/news/nitecore,YES,YES,Den ultimata guiden till Nitecore utrustning,,
article,nyheter/gopro-hero-12,news/gopro-hero-12,/blogs/nyheter/gopro-hero-12,/blogs/news/gopro-hero-12,YES,YES,GoPro Hero 12 komplett guide för svenska äventyrare,,
article,nyheter/dronare,news/drones,/blogs/nyheter/dronare,/blogs/news/drones,YES,YES,Drönare från grunden en komplett guide,,
article,nyheter/kamerastativ,news/kamerastativ,/blogs/nyheter/kamerastativ,/blogs/news/kamerastativ,YES,YES,En komplett guide för stadigare foton,,
article,nyheter/dronare-bast-i-test-budget,news/drones-bast-i-test-budget,/blogs/nyheter/dronare-bast-i-test-budget,/blogs/news/drones-bast-i-test-budget,YES,YES,Drönare bäst i test budget 2024 års köpguide,,
article,nyheter/dji-osmo,news/dji-osmo,/blogs/nyheter/dji-osmo,/blogs/news/dji-osmo,YES,YES,DJI Osmo: Din guide till perfekt stabiliserad video,,
article,nyheter/mic,news/mic,/blogs/nyheter/mic,/blogs/news/mic,YES,YES,Hitta rätt mic till din actionkamera,,
article,nyheter/dykutrustning,news/diving-equipment,/blogs/nyheter/dykutrustning,/blogs/news/diving-equipment,YES,YES,Dykutrustning för svenska vatten,,
article,nyheter/actionkamera-bast-i-test,news/actionkamera-bast-i-test,/blogs/nyheter/actionkamera-bast-i-test,/blogs/news/actionkamera-bast-i-test,YES,YES,Actionkamera bäst i test 2025 – Hitta rätt modell,,
article,nyheter/test-av-kameror,news/test-av-cameras,/blogs/nyheter/test-av-kameror,/blogs/news/test-av-cameras,YES,YES,Bästa actionkamera test av kameror 2024,,
