current_handle,proposed_handle,current_url,proposed_url,swedish_detected,recommendation,execute_phase,status,title
insta360-x4-metallbu-0104,insta360-x4-metallbu-0104,/products/insta360-x4-metallbu-0104,/products/insta360-x4-metallbu-0104,NO,KEEP,6_REVIEW_ONLY,DRAFT,Insta360 X4 metallbu 0104 för Optimal Prestanda
waterproof-protective-case-gopro-hero-4k-2024-puluz-60,waterproof-protective-case-gopro-hero-4k-2024-puluz-60,/products/waterproof-protective-case-gopro-hero-4k-2024-puluz-60,/products/waterproof-protective-case-gopro-hero-4k-2024-puluz-60,NO,KEEP,6_REVIEW_ONLY,DRAFT,GoPro HERO 4K 2024 PULUZ 60m - Vattentätt Skyddshölje för GoPro HERO
telesin-t10-fjarrkontroll-silikonskal-skyddande-fo,telesin-t10-remote-control-silicone-case-protective-fo,/products/telesin-t10-fjarrkontroll-silikonskal-skyddande-fo,/products/telesin-t10-remote-control-silicone-case-protective-fo,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,TELESIN T10 Remote Control - Skyddande Silikonskal för TELESIN T10
insta360-ace-pro-2-case-silikon-neck-strap,insta360-ace-pro-2-case-silicone-neck-strap,/products/insta360-ace-pro-2-case-silikon-neck-strap,/products/insta360-ace-pro-2-case-silicone-neck-strap,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 Ace Pro 2 Fodral med Nackrem
insta360-ace-pro-2-metallbur-skyddande-ram,insta360-ace-pro-2-metal-cage-protective-ram,/products/insta360-ace-pro-2-metallbur-skyddande-ram,/products/insta360-ace-pro-2-metal-cage-protective-ram,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Insta360 Ace Pro 2 Metal - Skyddande Metallbur för Insta360 Ace Pro 2
practical-storage-pouch-for-tech-camera,practical-storage-pouch-for-tech-camera,/products/practical-storage-pouch-for-tech-camera,/products/practical-storage-pouch-for-tech-camera,NO,KEEP,6_REVIEW_ONLY,DRAFT,Praktisk Förvaringspåse för teknik / kamera
dji-neo-battery-charger-lktop-triple-charger-65w,dji-neo-battery-charger-lktop-triple-charger-65w,/products/dji-neo-battery-charger-lktop-triple-charger-65w,/products/dji-neo-battery-charger-lktop-triple-charger-65w,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Neo Batteriladdare LKTOP med 65W Snabbladdning
ministativ-tripod,mini-tripod-tripod,/products/ministativ-tripod,/products/mini-tripod-tripod,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Stabilisera dina bilder med ett flexibelt ministativ tripod
pgytech-96cm-aluminium-selfiepinne-sportkamera,pgytech-96cm-aluminium-selfie-stick-action-camera,/products/pgytech-96cm-aluminium-selfiepinne-sportkamera,/products/pgytech-96cm-aluminium-selfie-stick-action-camera,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Selfiepinne sportkamera - PGYTECH 96cm Aluminium Selfiepinne
dji-flip-rcstq-linsskydd-dual,dji-flip-rcstq-lens-protector-dual,/products/dji-flip-rcstq-linsskydd-dual,/products/dji-flip-rcstq-lens-protector-dual,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,DJI Flip RCSTQ Lens Hoods Dual - DJI Flip RCSTQ Linsskydd med Dubbla
gopro-hero-2-double-battery-charger,gopro-hero-2-double-battery-charger,/products/gopro-hero-2-double-battery-charger,/products/gopro-hero-2-double-battery-charger,NO,KEEP,6_REVIEW_ONLY,DRAFT,gopro batteri - Dubbel Laddare för GoPro Hero 2 Batteri
brdrc-filterset-dji-mini3-mini3-pro,brdrc-filterset-dji-mini3-mini3-pro,/products/brdrc-filterset-dji-mini3-mini3-pro,/products/brdrc-filterset-dji-mini3-mini3-pro,NO,KEEP,6_REVIEW_ONLY,DRAFT,Filterset till DJI Mini 3 och Mini 3 Pro Drönare
gopro-hero4-charger,gopro-hero4-charger,/products/gopro-hero4-charger,/products/gopro-hero4-charger,NO,KEEP,6_REVIEW_ONLY,DRAFT,Effektiv GoPro HERO4 Laddare för Dina Äventyr
bkano-dji-osmo-action-3-protective-bag,bkano-dji-osmo-action-3-protective-bag,/products/bkano-dji-osmo-action-3-protective-bag,/products/bkano-dji-osmo-action-3-protective-bag,NO,KEEP,6_REVIEW_ONLY,DRAFT,BKANO Skyddsväska för DJI Osmo Action 3
storage-bag-portable-waterproof,storage-bag-portable-waterproof,/products/storage-bag-portable-waterproof,/products/storage-bag-portable-waterproof,NO,KEEP,6_REVIEW_ONLY,DRAFT,Vattentät Förvaringsväska Portable för Utrustning
telesin-kolfiber-selfie-stick-gen-2-2-7-meter-opti,telesin-kolfiber-selfie-stick-gen-2-2-7-meter-opti,/products/telesin-kolfiber-selfie-stick-gen-2-2-7-meter-opti,/products/telesin-kolfiber-selfie-stick-gen-2-2-7-meter-opti,NO,KEEP,6_REVIEW_ONLY,DRAFT,TELESIN Gen 2 2.7m Carbon Fiber Selfie Stick Sports Camera Extension Rod For GoPro HERO13 Black / Insta360
gopro-hero-5-6-dykfilter,gopro-hero-5-6-dykfilter,/products/gopro-hero-5-6-dykfilter,/products/gopro-hero-5-6-dykfilter,NO,KEEP,6_REVIEW_ONLY,DRAFT,GoPro Hero 5/6 Dykfilter för Klara Undervattensbilder
foldable-and-detachable-tripod-for-dji-flip-rcstq,foldable-and-detachable-tripod-for-dji-flip-rcstq,/products/foldable-and-detachable-tripod-for-dji-flip-rcstq,/products/foldable-and-detachable-tripod-for-dji-flip-rcstq,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Flip RCSTQ Folding - Fällbart Stativ för DJI Flip RCSTQ
dji-flip-rcstq-paddle-propeller-guard,dji-flip-rcstq-paddle-propeller-guard,/products/dji-flip-rcstq-paddle-propeller-guard,/products/dji-flip-rcstq-paddle-propeller-guard,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Flip RCSTQ Paddle - Robust Propellerskydd för DJI Flip RCSTQ
storage-bag-dji-flip-xfji-smooth-fly,storage-bag-dji-flip-xfji-smooth-fly,/products/storage-bag-dji-flip-xfji-smooth-fly,/products/storage-bag-dji-flip-xfji-smooth-fly,NO,KEEP,6_REVIEW_ONLY,DRAFT,Robust - DJI Flip XFJI väska
dji-flip-brdrc-linsfilter-set,dji-flip-brdrc-linsfilter-set,/products/dji-flip-brdrc-linsfilter-set,/products/dji-flip-brdrc-linsfilter-set,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Flip BRDRC Filterset
landing-pad-dji-mavic-mini-3pro-avata,landing-pad-dji-mavic-mini-3pro-avata,/products/landing-pad-dji-mavic-mini-3pro-avata,/products/landing-pad-dji-mavic-mini-3pro-avata,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Mavic MINI 3PRO /Avata - Skyddande Landningsplatta
digital-camera-battery-car-charger-gopro-hero4,digital-camera-battery-car-charger-gopro-hero4,/products/digital-camera-battery-car-charger-gopro-hero4,/products/digital-camera-battery-car-charger-gopro-hero4,NO,KEEP,6_REVIEW_ONLY,DRAFT,Digital Camera Battery Car - Billaddare för GoPro HERO4 – Digital
junestar-for-xiaomi-xiaoyi-yi-ii-4k-sport-action-c,junestar-for-xiaomi-xiaoyi-yi-ii-4k-sport-action-c,/products/junestar-for-xiaomi-xiaoyi-yi-ii-4k-sport-action-c,/products/junestar-for-xiaomi-xiaoyi-yi-ii-4k-sport-action-c,NO,KEEP,6_REVIEW_ONLY,DRAFT,JUNESTAR for Xiaomi Xiaoyi Yi II 4K Sport Action Camera Proffesional U
brdrc-drone-landing-pad-50x50cm-dji,brdrc-drone-landing-pad-50x50cm-dji,/products/brdrc-drone-landing-pad-50x50cm-dji,/products/brdrc-drone-landing-pad-50x50cm-dji,NO,KEEP,6_REVIEW_ONLY,DRAFT,BRDRC Drönar Landningsplatta 50x50cm
gopro-hero3-car-charger,gopro-hero3-car-charger,/products/gopro-hero3-car-charger,/products/gopro-hero3-car-charger,NO,KEEP,6_REVIEW_ONLY,DRAFT,GoPro HERO3 Billaddare för Dubbla Batterier
gopro-hero5-ramfaste,gopro-hero5-rammount,/products/gopro-hero5-ramfaste,/products/gopro-hero5-rammount,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,Robust GoPro Hero5 Ramfäste för Optimal Skydd
gopro-hero4-charger-lcd-screen-dual-batteries,gopro-hero4-charger-lcd-screen-dual-batteries,/products/gopro-hero4-charger-lcd-screen-dual-batteries,/products/gopro-hero4-charger-lcd-screen-dual-batteries,NO,KEEP,6_REVIEW_ONLY,DRAFT,LCD Screen Dual Batteries - GoPro HERO4 Laddare med LCD Skärm
storage-bag-dji-mini-3-pro-drones,storage-bag-dji-mini-3-pro-drones,/products/storage-bag-dji-mini-3-pro-drones,/products/storage-bag-dji-mini-3-pro-drones,NO,KEEP,6_REVIEW_ONLY,DRAFT,dji mini3 pro - Förvaringsväska för DJI Mini 3 och Mini 3 Pro
dji-inspire-1-backpack-barvasa,dji-inspire-1-backpack-barvasa,/products/dji-inspire-1-backpack-barvasa,/products/dji-inspire-1-backpack-barvasa,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Inspire 1 ryggsäck - Robust Ryggsäck för DJI Inspire 1 Drönare
junestar-xiaomi-xiaoyi-yi-ii-4k-sport-action-camer,junestar-xiaomi-xiaoyi-yi-ii-4k-sport-action-camer,/products/junestar-xiaomi-xiaoyi-yi-ii-4k-sport-action-camer,/products/junestar-xiaomi-xiaoyi-yi-ii-4k-sport-action-camer,NO,KEEP,6_REVIEW_ONLY,DRAFT,JUNESTAR for Xiaomi Xiaoyi Yi II 4K Sport Action Camera Proffesional C
dji-flip-propellers,dji-flip-propellers,/products/dji-flip-propellers,/products/dji-flip-propellers,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI Flip Propellrar för Förbättrad Flygupplevelse
dji-rc-pro-2-pro-your-ultimate-drone-controller,dji-rc-pro-2-pro-your-ultimate-drone-controller,/products/dji-rc-pro-2-pro-your-ultimate-drone-controller,/products/dji-rc-pro-2-pro-your-ultimate-drone-controller,NO,KEEP,6_REVIEW_ONLY,DRAFT,DJI RC Pro 2 Pro: Din Ultimata Drönarkontroll
dji-rc-n3-fjarrkontroll-for-drones,dji-rc-n3-remote-control-for-drones,/products/dji-rc-n3-fjarrkontroll-for-drones,/products/dji-rc-n3-remote-control-for-drones,YES,RENAME_POST_LAUNCH,6_REVIEW_ONLY,DRAFT,DJI RC-N3 Fjärrkontroll för Drönare
jsr-uv-filter-dji-mavic-mini,jsr-uv-filter-dji-mavic-mini,/products/jsr-uv-filter-dji-mavic-mini,/products/jsr-uv-filter-dji-mavic-mini,NO,KEEP,6_REVIEW_ONLY,DRAFT,JSR UV-Filter till DJI Mavic Mini
